frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
5221,1,173.975,0.98,0.32807600000000003,0.397368,-0.857009,0.204628,0.37896799999999997,-0.902502,0.294,0.41600000000000004,52.3,-358.7,1186.8,0.401,-0.389,0.201,0.0,0.0,0.0,0.55,0.0,0.79,0.0,0.07,0.0,0.3,0.0,0.88,0.34,0.31,0.0,0.33,0.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.0
5222,1,174.00900000000001,0.98,0.332104,0.39768000000000003,-0.8553120000000001,0.2069030000000001,0.37911100000000003,-0.9019229999999999,0.298,0.41600000000000004,52.4,-359.5,1189.9,0.39899999999999997,-0.39799999999999996,0.215,0.0,0.0,0.0,0.74,0.0,1.16,0.0,0.17,0.03,0.48,0.0,1.32,0.46,0.44,0.03,0.53,1.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.034000000000020236
5223,1,174.042,0.98,0.335375,0.397016,-0.8543430000000001,0.209207,0.378262,-0.901748,0.301,0.41600000000000004,52.4,-359.1,1188.9,0.39799999999999996,-0.40299999999999997,0.21899999999999997,0.0,0.0,0.0,0.57,0.0,0.95,0.0,0.29,0.11,0.72,0.0,1.35,0.72,0.4,0.16,0.41,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.06700000000000728
5224,1,174.075,0.98,0.292178,0.386137,-0.8749459999999999,0.16780699999999998,0.364809,-0.9158360000000001,0.251,0.397,91.0,-356.8,1208.3,0.373,-0.349,0.193,0.0,0.0,0.0,0.38,0.0,0.63,0.0,0.34,0.23,0.76,0.0,1.42,0.94,0.36,0.25,0.32,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.09999999999999432
5225,1,174.109,0.98,0.296214,0.38400300000000004,-0.8745280000000001,0.170602,0.362732,-0.9161440000000001,0.255,0.395,90.9,-356.8,1208.8,0.365,-0.359,0.205,0.0,0.0,0.0,0.3,0.0,0.46,0.0,0.34,0.33,1.01,0.0,1.31,1.09,0.33,0.28,0.37,0.64,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.13400000000001455
5226,1,174.142,0.98,0.25814000000000004,0.360699,-0.8962479999999999,0.129379,0.345221,-0.9295610000000001,0.209,0.369,132.2,-357.1,1213.4,0.33299999999999996,-0.31,0.122,0.0,0.0,0.0,0.31,0.0,0.39,0.0,0.32,0.37,1.03,0.0,1.32,0.86,0.35,0.3,0.51,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.1670000000000016
5227,1,174.175,0.98,0.2616,0.357892,-0.8963700000000001,0.132359,0.343256,-0.9298690000000001,0.212,0.3670000000000001,132.1,-356.6,1212.6,0.325,-0.321,0.131,0.0,0.0,0.0,0.36,0.0,0.56,0.0,0.28,0.37,1.18,0.0,1.17,0.76,0.36,0.38,0.67,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.20000000000001705
5228,1,174.209,0.98,0.263772,0.354665,-0.897016,0.13408599999999998,0.339928,-0.930844,0.214,0.363,132.0,-356.3,1211.8,0.321,-0.325,0.133,0.0,0.0,0.0,0.38,0.0,0.57,0.0,0.27,0.37,1.13,0.0,1.21,0.75,0.4,0.47,0.66,1.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.23400000000000887
5229,1,174.24200000000005,0.98,0.26571300000000003,0.3543,-0.8965870000000001,0.13553199999999999,0.33960799999999997,-0.930751,0.21600000000000005,0.363,131.9,-356.2,1211.5,0.321,-0.32799999999999996,0.134,0.0,0.0,0.0,0.45,0.01,0.62,0.0,0.2,0.41,1.22,0.0,1.15,0.94,0.42,0.51,0.71,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.26700000000005275
5230,1,174.275,0.98,0.23599699999999998,0.366175,-0.900123,0.10459600000000001,0.353404,-0.9296049999999999,0.184,0.375,170.6,-353.2,1198.1,0.337,-0.294,0.09699999999999999,0.0,0.0,0.0,0.53,0.04,0.51,0.0,0.18,0.48,1.3,0.0,1.16,1.11,0.51,0.51,0.68,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.30000000000001137
