frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
5221,0,173.975,0.88,-0.191137,0.397426,-0.8975069999999999,-0.319813,0.41072,-0.8538319999999999,-0.284,0.43200000000000005,-53.7,-357.8,1182.8,0.418,0.429,-0.207,0.97,0.21,0.55,0.68,0.0,0.0,0.0,0.0,0.1,0.43,0.0,1.01,0.26,0.0,0.0,0.6,0.14,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.0
5222,0,174.00900000000001,0.88,-0.188581,0.408647,-0.892998,-0.321067,0.42411800000000005,-0.8467819999999999,-0.285,0.446,-53.6,-358.3,1185.1,0.428,0.43,-0.225,1.45,0.26,0.8,1.06,0.0,0.0,0.0,0.0,0.16,0.66,0.0,1.52,0.37,0.0,0.0,0.83,0.23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.034000000000020236
5223,0,174.042,0.88,-0.18898099999999998,0.40885900000000003,-0.8928159999999999,-0.321383,0.42481199999999997,-0.8463139999999999,-0.285,0.447,-53.5,-357.8,1183.7,0.428,0.43200000000000005,-0.231,1.4,0.27,0.73,1.17,0.0,0.0,0.0,0.21,0.18,0.83,0.0,1.46,0.3,0.0,0.0,0.88,0.31,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.06700000000000728
5224,0,174.075,0.88,-0.146581,0.37495700000000004,-0.915381,-0.275043,0.390228,-0.878677,-0.231,0.40299999999999997,-92.0,-354.4,1200.2,0.38,0.376,-0.184,1.36,0.33,0.7,1.24,0.0,0.06,0.12,0.38,0.17,1.0,0.0,1.27,0.29,0.0,0.0,0.76,0.34,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.09999999999999433
5225,0,174.109,0.88,-0.144055,0.383522,-0.912227,-0.27629000000000004,0.400803,-0.87351,-0.231,0.414,-91.8,-354.3,1200.4,0.384,0.379,-0.19899999999999998,1.12,0.28,0.52,1.36,0.0,0.06,0.13,0.76,0.31,1.32,0.0,1.19,0.24,0.0,0.0,0.92,0.4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.13400000000001455
5226,0,174.142,0.88,-0.131607,0.359993,-0.9236260000000001,-0.257153,0.36787600000000004,-0.89361,-0.21100000000000002,0.381,-132.6,-352.1,1196.9,0.33799999999999997,0.369,-0.113,0.89,0.16,0.43,1.33,0.0,0.06,0.23,0.85,0.44,1.44,0.0,1.18,0.21,0.0,0.04,0.95,0.34,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.1670000000000016
5227,0,174.175,0.88,-0.13661600000000002,0.364608,-0.921085,-0.266279,0.373191,-0.8887209999999999,-0.21899999999999997,0.387,-132.5,-352.1,1197.1,0.336,0.385,-0.122,0.64,0.0,0.34,1.33,0.0,0.0,0.24,1.03,0.59,1.67,0.0,1.26,0.12,0.0,0.04,1.2,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.20000000000001705
5228,0,174.209,0.88,-0.135393,0.364816,-0.921183,-0.265373,0.37345700000000004,-0.8888799999999999,-0.218,0.387,-132.4,-351.9,1196.6,0.337,0.38299999999999995,-0.125,0.58,0.0,0.39,1.27,0.0,0.01,0.34,0.99,0.61,1.69,0.0,1.28,0.05,0.0,0.04,1.16,0.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.2340000000000089
5229,0,174.24200000000002,0.88,-0.13617100000000001,0.365297,-0.9208770000000001,-0.266223,0.373893,-0.888442,-0.21899999999999997,0.38799999999999996,-132.3,-351.7,1196.0,0.33799999999999997,0.384,-0.126,0.72,0.0,0.38,1.15,0.0,0.19,0.35,0.97,0.68,1.74,0.0,1.12,0.08,0.0,0.0,1.26,0.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.26700000000005275
5230,0,174.275,0.88,-0.10016900000000001,0.370122,-0.923567,-0.225847,0.375564,-0.898858,-0.177,0.38799999999999996,-171.4,-351.4,1191.4,0.34600000000000003,0.336,-0.09,0.87,0.0,0.4,0.91,0.0,0.34,0.33,0.92,0.75,1.71,0.0,0.97,0.16,0.0,0.0,1.36,0.28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False, ,0.30000000000001137
