frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
3373,1,112.387,0.98,0.311452,0.300538,-0.901485,0.408861,0.145226,-0.900967,0.38,0.242,81.7,7.4,538.3,0.243,-0.527,0.166,0.03,0.0,1.45,0.0,0.38,0.19,0.0,0.64,0.58,0.36,0.45,0.75,0.0,0.0,0.12,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.0
3374,1,112.42,0.98,0.334088,0.290633,-0.8966139999999999,0.395656,0.181626,-0.9002600000000001,0.386,0.257,81.9,7.6,538.6,0.247,-0.529,0.17800000000000002,0.38,0.18,1.95,0.1,0.39,0.19,0.0,0.88,0.58,0.93,0.52,0.97,0.15,0.0,0.12,0.17,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.03300000000000125
3375,1,112.454,0.88,0.398759,0.388952,-0.8304870000000001,0.296423,0.350287,-0.8885,0.384,0.406,8.6,-14.2,626.0,0.35600000000000004,-0.5,0.181,0.7,0.32,1.76,0.14,0.19,0.09,0.0,0.76,0.27,1.27,0.36,0.85,0.28,0.0,0.12,0.15,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.06699999999999307
3376,1,112.487,0.88,0.429133,0.399061,-0.810305,0.2916,0.356425,-0.887655,0.401,0.419,8.5,-14.2,624.5,0.374,-0.502,0.19,1.01,0.38,1.6,0.2,0.02,0.0,0.0,0.65,0.0,1.69,0.22,0.72,0.39,0.0,0.0,0.06,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.09999999999999432
3377,1,112.52,0.88,0.427244,0.403191,-0.8092590000000001,0.287194,0.361273,-0.887131,0.399,0.423,8.4,-14.2,624.4,0.378,-0.503,0.195,1.19,0.2,1.51,0.1,0.08,0.27,0.0,0.41,0.34,1.2,0.42,1.18,0.64,0.0,0.0,0.26,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.13299999999999557
3378,1,112.554,0.98,0.25612,0.139418,-0.956538,0.222309,0.189318,-0.956419,0.245,0.17,-50.9,-23.8,681.7,0.083,-0.337,0.107,1.47,0.06,1.39,0.06,0.2,0.59,0.0,0.21,0.7,0.82,0.42,1.54,1.06,0.0,0.0,0.48,0.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neutral,False, ,False,False, ,0.1670000000000016
3379,1,112.587,0.98,0.287527,0.124479,-0.949649,0.181985,0.165018,-0.969356,0.24,0.15,-51.6,-24.1,687.3,0.087,-0.369,0.107,1.7,0.0,1.25,0.0,0.32,0.87,0.0,0.0,1.05,0.44,0.37,1.89,1.48,0.0,0.0,0.69,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,neutral,False, ,False,False, ,0.20000000000000284
3380,1,112.62,0.98,0.294048,0.12984,-0.94693,0.185113,0.172735,-0.967417,0.245,0.157,-51.6,-24.2,687.8,0.094,-0.375,0.109,1.36,0.0,1.13,0.0,0.38,0.88,0.0,0.0,1.02,0.35,0.32,1.77,1.59,0.0,0.01,0.64,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,neutral,False, ,False,False, ,0.2330000000000041
3381,1,112.654,0.98,0.366942,0.13859200000000002,-0.919862,0.237294,0.12648800000000002,-0.963168,0.311,0.14,-87.0,-21.5,711.6,0.053,-0.35600000000000004,0.056,0.96,0.0,0.97,0.0,0.45,0.84,0.0,0.0,0.98,0.18,0.37,1.64,1.47,0.0,0.02,0.64,0.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,neutral,False, ,False,False, ,0.2669999999999959
3382,1,112.687,0.98,0.368391,0.136492,-0.919596,0.233775,0.125487,-0.964159,0.309,0.138,-87.2,-21.5,714.0,0.048,-0.35,0.048,0.59,0.0,0.82,0.0,0.53,0.83,0.0,0.0,0.97,0.0,0.42,1.48,1.36,0.0,0.06,0.59,0.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,neutral,False, ,False,False, ,0.29999999999999716
