frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
4087,0,136.183,0.88,-0.074543,0.5258970000000001,-0.847275,-0.214515,0.663142,-0.7170949999999999,-0.183,0.65,-230.9,-107.4,668.2,0.716,0.498,-0.313,1.21,0.0,0.02,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.37,0.0,0.0,0.69,2.33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,neutral,1,0,False, ,False,False,speak,0.0
4088,0,136.217,0.88,-0.064697,0.52762,-0.8470129999999999,-0.24113800000000002,0.648302,-0.7221890000000001,-0.192,0.643,-229.5,-106.6,663.8,0.6920000000000001,0.506,-0.295,1.49,0.0,0.22,0.38,0.08,0.38,0.0,0.22,0.0,0.0,1.02,0.9,0.08,0.0,0.8,2.82,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,surprise,1,0,False, ,False,False,speak,0.0
4089,0,136.25,0.88,-0.275463,0.2517,-0.927776,-0.339091,0.394415,-0.854081,-0.332,0.348,-180.6,-96.6,631.7,0.25,0.7090000000000001,-0.138,1.16,0.0,0.36,0.16,0.18,0.81,0.0,0.54,0.01,0.0,1.57,1.2,0.08,0.0,0.63,2.15,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,sad,1,0,False, ,False,False,speak,0.0
4090,0,136.283,0.88,-0.280107,0.23723699999999998,-0.930193,-0.35733200000000004,0.389378,-0.8489399999999999,-0.344,0.33899999999999997,-178.8,-94.7,622.4,0.252,0.716,-0.135,0.67,0.0,0.39,0.0,0.29,1.24,0.0,1.01,0.02,0.0,2.26,1.62,0.08,0.05,0.33,1.39,0.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,disgust,1,0,False, ,False,False,speak,0.0
4091,0,136.317,0.88,-0.27301,0.237398,-0.9322600000000001,-0.36291,0.391633,-0.8455290000000001,-0.344,0.34,-175.5,-92.3,609.6,0.23600000000000002,0.721,-0.11800000000000001,0.48,0.12,0.23,0.0,0.32,0.86,0.0,1.26,0.04,0.0,2.43,1.59,0.0,0.21,0.22,1.3,0.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,disgust,1,0,False, ,False,False,speak,0.0
4092,0,136.35,0.88,-0.350882,0.33613000000000004,-0.8740129999999999,-0.451121,0.38445300000000004,-0.805411,-0.446,0.405,-141.9,-100.4,626.1,0.39899999999999997,0.868,-0.166,0.43,0.43,0.09,0.0,0.34,0.47,0.0,1.52,0.04,0.0,2.61,1.57,0.0,0.43,0.14,1.16,0.09,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,disgust,1,0,False, ,False,False,speak,0.0
4093,0,136.38299999999998,0.98,-0.3709,0.326857,-0.869251,-0.435431,0.37162199999999995,-0.819937,-0.445,0.392,-141.3,-99.6,622.9,0.41,0.8490000000000001,-0.168,0.61,0.84,0.11,0.0,0.32,0.06,0.0,1.55,0.03,0.0,2.66,1.44,0.0,0.88,0.29,1.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,disgust,1,0,False, ,False,False,speak,0.0
4094,0,136.417,0.98,-0.355049,0.364404,-0.8609,-0.444221,0.371433,-0.815294,-0.445,0.414,-138.7,-98.5,616.0,0.413,0.863,-0.163,0.89,1.17,0.1,0.0,0.28,0.13,0.0,1.51,0.01,0.0,2.63,1.35,0.0,1.26,0.66,1.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,disgust,1,0,False, ,False,False,speak,0.0
4095,0,136.45,0.98,-0.359248,0.360562,-0.860777,-0.445118,0.370906,-0.815045,-0.44799999999999995,0.41200000000000003,-137.6,-97.9,611.3,0.41600000000000004,0.856,-0.157,0.95,0.86,0.09,0.0,0.3,0.23,0.0,1.47,0.13,0.0,2.71,1.35,0.0,1.04,0.59,0.93,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,disgust,1,0,False, ,False,False,speak,0.0
4096,0,136.483,0.88,-0.33215300000000003,0.321042,-0.886908,-0.430266,0.329656,-0.840356,-0.41600000000000004,0.36,-118.5,-98.1,615.3,0.31,0.757,-0.109,0.84,0.46,0.03,0.0,0.36,0.44,0.0,1.69,0.25,0.0,3.05,1.44,0.0,0.54,0.37,0.62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,disgust,1,0,False, ,False,False,speak,0.0
