frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
4084,1,136.083,0.98,0.278477,0.37196,-0.8854920000000001,0.139625,0.247662,-0.958733,0.223,0.324,267.2,-81.0,633.6,0.218,-0.7020000000000001,0.119,1.11,0.42,0.63,0.0,0.18,0.79,0.0,0.61,0.45,0.0,0.0,1.1,0.0,0.11,0.8,0.33,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
4085,1,136.11700000000002,0.98,0.309819,0.328255,-0.892335,0.274531,0.233255,-0.932858,0.31,0.298,270.5,-80.7,643.2,0.181,-0.752,0.145,1.34,0.42,0.88,0.0,0.24,1.26,0.0,0.68,0.53,0.0,0.33,1.46,0.0,0.25,1.5,0.69,0.01,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,sad,False, ,False,False,speak,0.0
4086,1,136.15,0.98,0.358671,0.391844,-0.8472379999999999,0.233111,0.307318,-0.922613,0.32299999999999995,0.376,218.0,-92.4,633.7,0.277,-0.742,0.14800000000000002,1.32,0.42,0.78,0.0,0.2,1.29,0.0,0.48,0.53,0.0,0.38,1.3,0.0,0.19,1.79,0.88,0.04,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,sad,False, ,False,False,speak,0.0
4087,1,136.183,0.98,0.293279,0.363646,-0.884166,0.185591,0.25455900000000004,-0.949081,0.256,0.325,225.3,-93.5,651.1,0.232,-0.698,0.165,1.19,0.38,0.76,0.0,0.21,1.45,0.0,0.16,0.47,0.0,0.51,1.12,0.0,0.14,2.15,1.1,0.18,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,sad,False, ,False,False,speak,0.0
4088,1,136.217,0.98,0.27432,0.343218,-0.8983040000000001,0.20623400000000008,0.246502,-0.946945,0.255,0.309,226.3,-92.5,652.1,0.193,-0.67,0.16399999999999998,1.41,0.61,0.78,0.0,0.17,1.57,0.0,0.26,0.52,0.0,0.18,1.18,0.0,0.1,2.06,1.31,0.28,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,surprise,False, ,False,False,speak,0.0
4089,1,136.25,0.98,0.394096,0.324391,-0.8599180000000001,0.342567,0.223764,-0.912457,0.394,0.3,185.3,-101.5,656.9,0.277,-0.8009999999999999,0.151,1.68,0.94,0.74,0.0,0.09,1.64,0.0,0.36,0.42,0.0,0.13,1.11,0.0,0.14,1.96,1.47,0.24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,surprise,False, ,False,False,speak,0.0
4090,1,136.283,0.98,0.355631,0.36749,-0.859347,0.272114,0.251899,-0.928709,0.338,0.333,190.4,-103.1,670.4,0.256,-0.779,0.182,1.99,1.32,0.73,0.0,0.02,1.63,0.0,0.5,0.31,0.0,0.0,1.12,0.0,0.23,1.88,1.71,0.11,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,surprise,False, ,False,False,speak,0.0
4091,1,136.317,0.98,0.359819,0.374882,-0.854397,0.294262,0.2409260000000001,-0.924859,0.35200000000000004,0.333,190.5,-103.6,672.2,0.27,-0.809,0.193,1.91,1.25,0.73,0.0,0.0,1.45,0.0,0.33,0.18,0.0,0.49,0.98,0.0,0.13,2.17,1.39,0.11,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,surprise,False, ,False,False,speak,0.0
4092,1,136.35,0.88,0.438252,0.309832,-0.843765,0.34351,0.271202,-0.8991389999999999,0.422,0.322,150.3,-102.3,644.6,0.303,-0.7659999999999999,0.142,1.58,0.9,0.73,0.0,0.0,1.31,0.0,0.15,0.08,0.0,1.83,0.88,0.0,0.08,2.76,0.85,0.28,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,0,sad,False, ,False,False,speak,0.0
4093,1,136.38299999999998,0.98,0.466519,0.30376,-0.830716,0.34845,0.263606,-0.8994969999999999,0.44,0.317,148.8,-101.0,639.4,0.304,-0.768,0.141,1.17,0.33,0.81,0.0,0.0,1.17,0.0,0.01,0.0,0.0,3.25,0.69,0.0,0.0,3.23,0.26,0.49,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,0,sad,False, ,False,False,speak,0.0
4094,1,136.417,0.98,0.471578,0.309252,-0.8258190000000001,0.347275,0.264777,-0.8996069999999999,0.443,0.321,147.1,-99.8,633.5,0.302,-0.763,0.132,1.12,0.17,0.88,0.0,0.02,1.2,0.0,0.0,0.0,0.0,4.17,0.4,0.0,0.0,3.44,0.0,0.65,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,0,disgust,False, ,False,False,speak,0.0
4095,1,136.45,0.98,0.471519,0.310827,-0.825261,0.345314,0.265763,-0.900071,0.442,0.32299999999999995,146.4,-99.3,630.7,0.298,-0.757,0.125,1.39,0.42,1.16,0.15,0.1,1.21,0.0,0.19,0.27,0.0,2.87,0.3,0.0,0.0,2.55,0.14,0.48,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,sad,False, ,False,False,speak,0.0
4096,1,136.483,0.88,0.286971,0.33921100000000004,-0.89587,0.148296,0.282737,-0.947665,0.232,0.325,134.2,-111.0,680.8,0.341,-0.3720000000000001,0.065,1.63,0.84,1.47,0.15,0.29,1.43,0.0,0.44,0.56,0.0,1.64,0.25,0.0,0.0,1.83,0.23,0.37,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,sad,False, ,False,False,speak,0.0
