frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
8327,0,277.491,0.98,-0.285675,0.246705,-0.926027,-0.353498,0.296543,-0.8871870000000001,-0.33899999999999997,0.29100000000000004,-422.2,-375.1,1393.1,0.22399999999999998,0.735,-0.41700000000000004,1.25,0.02,0.0,0.0,0.0,0.0,0.0,0.57,0.27,0.3,0.64,2.03,0.0,1.07,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8328,0,277.525,0.98,-0.32765700000000003,0.196163,-0.924208,-0.379385,0.260657,-0.8877639999999999,-0.37200000000000005,0.247,-410.0,-364.5,1357.9,0.159,0.8240000000000001,-0.46299999999999997,1.39,0.02,0.0,0.15,0.1,0.0,0.0,0.57,0.43,0.3,0.64,2.56,0.0,1.81,0.16,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8329,0,277.558,0.88,-0.022631000000000002,0.401557,-0.9155549999999999,-0.134489,0.414818,-0.89991,-0.086,0.423,-492.7,-426.1,1437.0,0.391,0.314,-0.111,1.56,0.02,0.0,0.27,0.1,0.0,0.0,0.48,0.31,0.76,0.8,1.75,0.0,1.49,0.16,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8330,0,277.591,0.98,-0.289344,0.236895,-0.927449,-0.34645,0.296247,-0.8900620000000001,-0.337,0.285,-468.8,-405.0,1342.3,0.195,0.78,-0.475,0.69,0.0,0.0,0.27,0.1,0.0,0.0,0.17,0.17,0.45,0.17,1.02,0.0,1.12,0.16,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8338,0,277.858,0.88,0.00575,0.505478,-0.86282,-0.106421,0.518092,-0.8486790000000001,-0.059000000000000004,0.539,-636.3,-531.1,1463.7,0.523,0.308,-0.109,0.96,0.0,0.92,0.76,0.0,0.0,0.0,0.0,0.29,0.36,0.0,1.27,0.0,2.86,0.81,1.82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
8339,0,277.89099999999996,0.88,0.007065000000000001,0.505242,-0.862949,-0.10963699999999998,0.524046,-0.8446030000000001,-0.06,0.542,-634.3,-530.2,1459.4,0.524,0.297,-0.13699999999999998,1.06,0.0,0.91,0.83,0.17,0.0,0.05,0.05,0.36,0.19,0.0,1.07,0.0,3.05,0.3,1.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
8341,0,277.95799999999997,0.88,0.026957,0.512506,-0.85826,-0.084953,0.53497,-0.8405889999999999,-0.034,0.5529999999999999,-633.1,-530.5,1434.9,0.511,0.267,-0.155,1.5,0.0,0.5,0.75,0.4,0.0,0.14,0.16,0.85,0.13,0.05,0.89,0.0,3.01,0.0,1.63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,angry,1,0,False, ,False,False,speak,0.0
8342,0,277.991,0.88,0.04936,0.514117,-0.856299,-0.062089,0.537095,-0.841234,-0.006999999999999999,0.5539999999999999,-628.5,-527.4,1408.4,0.526,0.25,-0.157,1.56,0.0,0.43,0.68,0.34,0.0,0.21,0.11,0.88,0.16,0.05,0.78,0.01,3.22,0.08,1.63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,angry,1,0,False, ,False,False,speak,0.0
8343,0,278.024,0.88,0.046359,0.525812,-0.8493360000000001,-0.067932,0.550492,-0.8320719999999999,-0.013000000000000001,0.569,-633.5,-531.0,1403.7,0.534,0.254,-0.165,1.77,0.0,0.5,0.61,0.51,0.0,0.34,0.23,0.92,0.25,0.0,0.86,0.01,3.21,0.11,1.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,angry,1,0,False, ,False,False,speak,0.0
8344,0,278.058,0.98,0.05042,0.526991,-0.848374,-0.060508000000000006,0.553528,-0.83063,-0.006,0.5720000000000001,-640.0,-535.1,1400.3,0.534,0.248,-0.161,1.44,0.0,0.62,0.4,0.32,0.0,0.38,0.11,0.69,0.21,0.29,1.09,0.04,3.35,0.11,1.21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,angry,1,0,False, ,False,False,speak,0.0
8345,0,278.091,0.88,0.027905000000000003,0.52551,-0.8503299999999999,-0.089309,0.549424,-0.830757,-0.037000000000000005,0.569,-642.8,-537.5,1400.0,0.524,0.272,-0.149,1.35,0.0,0.68,0.46,0.63,0.72,0.6,0.38,0.62,0.15,0.55,1.61,0.29,3.32,0.03,0.91,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
8348,0,278.191,0.98,0.088563,0.446763,-0.890258,-0.015331000000000001,0.470175,-0.88244,0.040999999999999995,0.47700000000000004,-647.5,-544.1,1406.1,0.426,0.2,-0.11599999999999999,1.08,0.0,0.24,0.95,0.49,1.45,0.2,0.93,0.24,0.37,1.82,2.47,0.64,2.59,0.0,0.89,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
