frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
8342,0,278.005,0.98,0.503895,-0.042263999999999996,-0.8627299999999999,0.49526000000000003,-0.083303,-0.864742,0.524,-0.073,155.3,9.8,637.1,-0.33299999999999996,-1.286,-0.19,0.3,0.62,0.0,0.55,0.0,0.73,0.0,0.0,0.0,0.77,1.67,0.59,0.0,0.64,0.24,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8347,0,278.172,0.98,0.5870920000000001,-0.0926,-0.804207,0.46,-0.176846,-0.870129,0.5589999999999999,-0.16,135.1,15.6,560.5,-0.34600000000000003,-1.13,0.157,2.14,1.2,0.0,1.97,0.13,2.22,0.0,0.51,0.0,0.34,2.64,1.67,0.32,2.79,0.21,2.26,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,surprise,1,0,False, ,False,False,speak,0.0
8368,0,278.872,0.98,-0.31557199999999996,0.236596,-0.918932,-0.407183,0.264306,-0.874268,-0.38299999999999995,0.272,-216.6,-296.2,1416.9,0.237,0.6679999999999999,-0.251,1.6,0.0,0.23,0.26,0.43,0.0,0.0,0.43,0.42,0.0,1.56,2.84,0.21,0.25,0.0,0.09,0.06,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sad,1,0,False, ,False,False,speak,0.0
8369,0,278.905,0.98,-0.311277,0.23893000000000003,-0.9197930000000001,-0.40260799999999997,0.269312,-0.874859,-0.379,0.276,-217.8,-299.4,1427.9,0.259,0.632,-0.267,1.37,0.0,0.28,0.0,0.42,0.0,0.0,0.67,0.52,0.0,1.48,2.66,0.38,0.44,0.0,0.09,0.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sad,1,0,False, ,False,False,speak,0.0
8370,0,278.938,0.98,-0.302597,0.249498,-0.919884,-0.395838,0.278475,-0.875079,-0.371,0.28600000000000003,-218.8,-301.3,1435.3,0.273,0.615,-0.26899999999999996,1.54,0.0,0.43,0.0,0.39,0.0,0.0,0.66,0.46,0.0,1.22,2.45,0.42,0.58,0.0,0.02,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sad,1,0,False, ,False,False,speak,0.0
8371,0,278.972,0.98,-0.297415,0.25993099999999997,-0.9186840000000001,-0.390876,0.287308,-0.8744540000000001,-0.36700000000000005,0.29600000000000004,-219.6,-302.4,1439.8,0.28600000000000003,0.605,-0.265,1.08,0.0,0.29,0.0,0.24,0.0,0.0,0.45,0.29,0.0,0.75,1.59,0.32,0.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8372,0,279.005,0.98,-0.12119400000000001,0.205592,-0.9711049999999999,-0.25162399999999996,0.21912800000000002,-0.942692,-0.192,0.218,-271.6,-291.5,1539.9,0.165,0.38299999999999995,-0.129,1.2,0.0,0.42,0.0,0.19,0.0,0.0,0.34,0.51,0.0,0.31,1.41,0.13,0.22,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8373,0,279.038,0.88,-0.11197,0.22504899999999997,-0.967892,-0.24738000000000002,0.242907,-0.937976,-0.18600000000000003,0.24100000000000002,-272.3,-292.6,1544.7,0.193,0.366,-0.152,1.41,0.0,0.41,0.0,0.2,0.0,0.0,0.27,0.81,0.0,0.0,1.29,0.0,0.02,0.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8374,0,279.072,0.88,-0.12222899999999999,0.21547600000000003,-0.968829,-0.256447,0.23606999999999997,-0.9372860000000001,-0.196,0.233,-274.1,-293.7,1553.5,0.174,0.381,-0.156,2.13,0.0,0.61,0.0,0.41,0.0,0.0,0.4,1.2,0.0,0.0,1.88,0.0,0.08,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
8375,0,279.105,0.88,-0.209198,0.23458099999999998,-0.94932,-0.31966300000000003,0.251423,-0.913565,-0.27699999999999997,0.255,-307.8,-249.9,1543.7,0.222,0.515,-0.147,2.17,0.0,0.71,0.0,0.55,0.0,0.0,0.43,1.23,0.0,0.0,1.85,0.0,0.12,0.0,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
