frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
7199,0,239.891,0.88,0.6543869999999999,0.177367,-0.735064,0.530038,0.181968,-0.828219,0.648,0.226,-562.3,-280.1,1606.3,0.182,-0.737,0.108,0.0,0.11,0.68,0.86,0.17,0.0,0.59,0.57,0.43,0.73,0.38,1.43,0.06,0.05,0.4,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.0
7202,0,239.991,0.88,0.595989,0.207461,-0.77573,0.476076,0.20822,-0.854398,0.5820000000000001,0.25,-504.7,-338.3,1609.9,0.195,-0.6509999999999999,0.113,0.0,0.0,0.43,0.0,0.3,0.0,0.37,1.09,1.08,1.27,0.08,1.2,0.56,0.0,1.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.10000000000002274
7203,0,240.024,0.82,0.583684,0.211641,-0.783914,0.461496,0.20742,-0.862554,0.5660000000000001,0.249,-488.1,-355.0,1611.4,0.184,-0.627,0.12,0.0,0.0,0.97,0.0,0.5,0.29,0.6,1.56,1.38,1.56,0.45,1.62,0.56,0.0,1.54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.13300000000000978
7219,0,240.558,0.98,0.39179,0.328444,-0.859433,0.257685,0.291259,-0.921285,0.35,0.335,-363.5,-383.1,1492.5,0.322,-0.366,0.426,0.0,0.0,0.05,0.41,0.29,0.0,0.24,0.11,0.43,0.0,0.21,3.29,0.0,0.33,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.6670000000000016
7220,0,240.591,0.98,0.387682,0.331681,-0.860052,0.252357,0.293362,-0.922092,0.345,0.337,-360.5,-380.4,1481.6,0.326,-0.358,0.4320000000000001,0.0,0.0,0.05,0.41,0.29,0.0,0.24,0.11,0.43,0.0,0.21,3.29,0.0,0.33,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
7223,0,240.691,0.88,0.576051,0.302947,-0.759203,0.473105,0.285366,-0.833509,0.5820000000000001,0.354,-327.8,-480.0,1670.8,0.289,-0.696,0.231,0.0,0.0,0.43,0.0,0.67,0.0,0.58,0.48,0.97,0.88,0.49,0.33,0.0,0.0,1.96,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
7224,0,240.724,0.88,0.580079,0.306485,-0.7547020000000001,0.472842,0.285571,-0.8335889999999999,0.585,0.35700000000000004,-329.9,-482.1,1679.9,0.28,-0.6940000000000001,0.253,0.0,0.0,0.43,0.0,0.92,0.0,0.85,0.87,1.54,1.27,0.7,0.45,0.06,0.0,2.73,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7225,0,240.758,0.88,0.573487,0.287952,-0.766939,0.469562,0.26715900000000004,-0.8415090000000001,0.575,0.332,-336.7,-483.7,1680.8,0.225,-0.6809999999999999,0.236,0.0,0.0,0.16,0.0,0.79,0.0,0.88,1.01,1.57,1.16,0.48,0.49,0.42,0.0,2.5,0.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
7226,0,240.791,0.88,0.57776,0.25464499999999995,-0.775467,0.473267,0.23745300000000005,-0.8483129999999999,0.574,0.294,-335.7,-475.2,1639.6,0.18600000000000005,-0.684,0.202,0.0,0.0,0.0,0.0,0.66,0.0,0.65,1.03,1.52,0.79,0.21,0.42,0.97,0.0,2.13,0.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
7227,0,240.824,0.88,0.570337,0.229882,-0.788587,0.469862,0.214323,-0.8563270000000001,0.564,0.264,-344.3,-477.9,1637.9,0.16,-0.67,0.179,0.0,0.0,0.12,0.0,0.77,0.0,0.77,0.87,1.44,1.05,0.0,0.63,1.25,0.0,1.92,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,neutral,False, ,False,False,speak,0.0
7228,0,240.858,0.88,0.521839,0.252278,-0.814886,0.396639,0.240226,-0.885984,0.495,0.282,-347.6,-455.8,1530.2,0.18,-0.5489999999999999,0.152,0.0,0.0,0.16,0.0,0.95,0.0,0.71,0.74,1.48,1.18,0.0,0.63,1.23,0.0,1.95,0.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7229,0,240.891,0.88,0.507858,0.232352,-0.829513,0.393747,0.219602,-0.892602,0.482,0.257,-359.0,-462.0,1538.8,0.14400000000000002,-0.529,0.128,0.0,0.0,0.37,0.0,1.25,0.0,1.07,0.69,1.62,1.57,0.02,0.69,0.93,0.0,1.97,0.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7230,0,240.924,0.98,0.511858,0.251404,-0.8214610000000001,0.390465,0.23940100000000006,-0.8889459999999999,0.485,0.279,-357.4,-458.2,1524.7,0.16399999999999998,-0.534,0.136,0.0,0.0,0.45,0.0,1.36,0.0,1.07,0.68,1.66,1.51,0.05,0.76,0.84,0.0,1.88,0.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7231,0,240.958,0.98,0.496582,0.226961,-0.837792,0.371465,0.217977,-0.902496,0.463,0.25,-372.5,-459.1,1495.7,0.122,-0.502,0.124,0.0,0.0,0.41,0.0,1.46,0.0,1.11,0.72,1.7,1.55,0.07,0.88,0.95,0.0,1.66,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7232,0,240.991,0.98,0.5039640000000001,0.220716,-0.8350479999999999,0.381168,0.214507,-0.8992760000000001,0.472,0.246,-378.0,-461.0,1488.7,0.111,-0.511,0.091,0.0,0.0,0.34,0.0,1.49,0.0,1.11,0.79,1.69,1.68,0.1,1.03,1.15,0.0,1.43,0.16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7233,0,241.024,0.98,0.504957,0.242148,-0.8284819999999999,0.381437,0.234909,-0.894049,0.475,0.27,-378.3,-460.9,1486.7,0.139,-0.509,0.091,0.0,0.0,0.14,0.0,1.3,0.0,0.83,0.84,1.65,1.09,0.07,0.77,1.25,0.0,1.3,0.17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7234,0,241.058,0.82,0.495972,0.215713,-0.841118,0.381225,0.210174,-0.900275,0.467,0.24,-387.8,-467.0,1491.2,0.129,-0.487,0.078,0.0,0.0,0.14,0.0,0.99,0.0,0.5,0.73,1.51,0.6,0.06,0.77,0.99,0.0,1.3,0.53,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7235,0,241.091,0.82,0.456732,0.182201,-0.8707459999999999,0.35396700000000003,0.174387,-0.918856,0.425,0.197,-398.3,-472.3,1499.1,0.07400000000000001,-0.431,0.054000000000000006,0.0,0.0,0.21,0.0,0.92,0.08,0.23,1.02,1.61,0.55,0.0,0.62,0.63,0.0,1.56,0.96,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7236,0,241.124,0.88,0.483667,0.173294,-0.857925,0.376167,0.173572,-0.910149,0.453,0.194,-397.4,-465.5,1471.9,0.029,-0.472,-0.005,0.0,0.0,0.21,0.0,0.95,0.08,0.12,0.88,1.65,0.67,0.0,0.72,0.54,0.0,1.78,1.54,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7237,0,241.158,0.88,0.4563680000000001,0.188426,-0.869611,0.355989,0.187831,-0.915419,0.4270000000000001,0.208,-411.8,-470.1,1489.6,0.08800000000000001,-0.426,-0.001,0.0,0.0,0.21,0.0,0.9,0.08,0.13,0.82,1.67,0.67,0.0,0.56,0.36,0.0,1.98,1.74,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7238,0,241.191,0.88,0.427217,0.17619400000000002,-0.8868149999999999,0.33086,0.177269,-0.926881,0.396,0.192,-419.9,-466.7,1486.1,0.073,-0.387,-0.027000000000000003,0.0,0.0,0.15,0.0,1.0,0.2,0.21,0.79,1.72,0.65,0.0,0.36,0.34,0.0,1.88,1.54,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7239,0,241.224,0.93,0.492655,0.170163,-0.853426,0.378831,0.181267,-0.90754,0.46,0.197,-411.7,-453.3,1442.8,0.032,-0.473,-0.051,0.0,0.0,0.15,0.0,1.13,0.2,0.36,1.22,1.9,0.88,0.02,0.41,0.33,0.0,2.02,1.34,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7240,0,241.257,0.88,0.487362,0.225878,-0.8434799999999999,0.383393,0.237848,-0.8924340000000001,0.465,0.261,-423.8,-450.8,1450.6,0.128,-0.473,-0.051,0.0,0.0,0.31,0.0,1.56,0.2,0.46,1.69,2.23,1.36,0.17,0.5,0.52,0.0,2.07,1.02,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7241,0,241.291,0.98,0.51476,0.246158,-0.8212360000000001,0.400791,0.260896,-0.878237,0.494,0.29,-423.3,-439.1,1427.6,0.159,-0.503,-0.06,0.0,0.0,0.43,0.0,1.59,0.0,0.49,1.65,2.31,1.42,0.4,0.58,0.55,0.0,2.15,0.83,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,happy,False, ,False,False,speak,0.0
7242,0,241.324,0.98,0.547222,0.248655,-0.799198,0.422873,0.265309,-0.866481,0.527,0.299,-415.2,-429.5,1397.7,0.162,-0.5429999999999999,-0.065,0.0,0.0,0.63,0.0,1.66,0.0,0.49,1.84,2.32,1.87,0.5,0.5,0.29,0.0,1.86,0.54,0.08,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,happy,False, ,False,False,speak,0.0
