frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
6260,0,208.605,0.98,-0.402545,0.22471100000000002,-0.887391,-0.521256,0.23115500000000003,-0.821498,-0.496,0.261,17.5,-86.4,783.4,0.174,0.7070000000000001,-0.052000000000000005,0.53,0.0,0.01,0.0,0.0,0.0,1.09,0.72,0.82,0.22,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6261,0,208.638,0.98,-0.41601000000000005,0.24064899999999997,-0.8769399999999999,-0.535805,0.244621,-0.80813,-0.514,0.28,17.7,-86.9,786.0,0.18899999999999997,0.721,-0.048,0.54,0.0,0.01,0.0,0.0,0.0,1.2,0.58,0.68,0.0,0.0,0.0,0.0,0.04,1.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6262,0,208.671,0.98,-0.416738,0.24438800000000002,-0.875559,-0.535666,0.24791100000000002,-0.8072189999999999,-0.515,0.285,17.7,-87.1,786.6,0.19399999999999998,0.7240000000000001,-0.048,0.62,0.0,0.02,0.0,0.0,0.0,1.25,0.61,0.67,0.0,0.0,0.0,0.0,0.07,1.62,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6263,0,208.705,0.98,-0.417796,0.247669,-0.874132,-0.535984,0.250724,-0.806138,-0.516,0.28800000000000003,17.7,-87.2,787.0,0.19899999999999998,0.725,-0.048,0.57,0.0,0.02,0.0,0.0,0.0,1.25,0.61,0.68,0.0,0.0,0.0,0.0,0.09,1.64,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6264,0,208.738,0.98,-0.417062,0.249153,-0.8740610000000001,-0.534822,0.252171,-0.806458,-0.515,0.29,17.7,-87.3,787.1,0.201,0.723,-0.047,0.45,0.0,0.02,0.0,0.0,0.0,1.1,0.56,0.73,0.0,0.0,0.0,0.0,0.27,1.47,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6265,0,208.771,0.98,-0.42619799999999997,0.209817,-0.8799610000000001,-0.529896,0.21716799999999997,-0.819786,-0.512,0.24600000000000002,25.3,-89.2,772.7,0.151,0.721,0.012,0.41,0.0,0.01,0.0,0.0,0.0,1.02,0.58,0.81,0.05,0.0,0.0,0.0,0.36,1.42,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6266,0,208.805,0.98,-0.43204899999999996,0.21915900000000002,-0.874816,-0.545288,0.222759,-0.808109,-0.526,0.257,26.1,-88.8,764.8,0.156,0.732,0.018000000000000002,0.35,0.0,0.0,0.0,0.01,0.0,0.93,0.57,0.89,0.2,0.0,0.0,0.0,0.38,1.57,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6267,0,208.838,0.98,-0.429105,0.230575,-0.8733299999999999,-0.542567,0.23076100000000002,-0.8076949999999999,-0.524,0.268,19.6,-83.1,724.6,0.168,0.741,0.022000000000000002,0.42,0.0,0.0,0.0,0.01,0.0,0.99,0.68,0.9,0.31,0.0,0.0,0.0,0.18,1.82,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6268,0,208.87099999999998,0.98,-0.430587,0.220491,-0.875202,-0.544971,0.22211,-0.808501,-0.525,0.257,19.0,-82.6,722.5,0.154,0.7390000000000001,0.032,0.36,0.0,0.0,0.0,0.01,0.0,0.96,0.66,0.88,0.37,0.0,0.0,0.0,0.1,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6269,0,208.905,0.98,-0.42989399999999994,0.21832600000000002,-0.876085,-0.547773,0.219175,-0.807408,-0.526,0.254,18.9,-83.0,724.6,0.146,0.736,0.039,0.23,0.0,0.0,0.0,0.2,0.0,0.79,0.89,1.12,0.96,0.0,0.0,0.0,0.08,2.08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6270,0,208.938,0.88,-0.31651599999999996,0.320577,-0.892776,-0.487904,0.363273,-0.793714,-0.445,0.385,16.9,-75.6,698.5,0.139,0.675,0.03,0.11,0.0,0.0,0.0,0.4,0.0,0.58,0.97,1.48,1.52,0.0,0.0,0.0,0.05,2.01,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6271,0,208.97099999999998,0.98,-0.297317,0.29433899999999996,-0.908277,-0.47803199999999996,0.336663,-0.81126,-0.424,0.35200000000000004,15.1,-72.6,686.1,0.09699999999999999,0.622,0.027999999999999997,0.0,0.0,0.0,0.0,0.62,0.0,0.26,0.76,1.35,1.83,0.0,0.0,0.34,0.01,2.08,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,1.0,0.0,False, ,False,False,speak,0.0
6273,0,209.03799999999998,0.88,-0.284068,0.22313000000000002,-0.93248,-0.409055,0.239538,-0.880509,-0.365,0.25,9.2,-67.9,711.8,0.207,0.537,-0.059000000000000004,0.0,0.0,0.07,0.0,0.33,0.0,0.0,0.0,0.47,1.39,0.0,0.0,0.6,0.0,2.29,0.0,0.23,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,0.0,0.0,False, ,False,False,speak,0.06700000000000728
6274,0,209.071,0.93,-0.252042,0.384522,-0.888041,-0.277378,0.364494,-0.888935,-0.29,0.39899999999999997,5.1,-59.7,665.2,0.21899999999999997,0.523,-0.07400000000000001,0.0,0.0,0.09,0.0,0.11,0.0,0.0,0.0,0.64,1.81,0.0,0.0,0.29,0.0,2.25,0.0,0.48,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,0.0,0.0,False, ,False,False,speak,0.09999999999999433
6275,0,209.105,0.98,-0.237321,0.368633,-0.8987700000000001,-0.266778,0.356272,-0.895489,-0.27399999999999997,0.384,4.0,-56.3,646.9,0.17300000000000001,0.486,-0.051,0.0,0.0,0.09,0.0,0.32,0.42,0.01,0.12,0.99,1.62,0.0,0.0,0.25,0.0,2.11,0.0,0.39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,0.0,0.0,False, ,False,False,speak,0.13399999999998613
6276,0,209.138,0.98,-0.017241,0.368582,-0.929435,-0.116104,0.315548,-0.94178,-0.071,0.35100000000000003,-21.7,-41.6,611.3,0.184,0.237,-0.037000000000000005,0.0,0.0,0.02,0.0,0.6,0.8,0.01,0.24,1.39,1.46,0.0,0.0,0.29,0.0,1.89,0.0,0.24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral,0.0,0.0,False, ,False,False,speak,0.1670000000000016
6277,0,209.171,0.98,-0.028429000000000003,0.358121,-0.933242,-0.115355,0.31109699999999996,-0.943351,-0.076,0.34299999999999997,-21.9,-41.9,615.9,0.171,0.242,-0.031,0.0,0.0,0.0,0.0,0.88,1.23,0.01,0.35,1.6,0.91,0.0,0.0,0.39,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.19999999999998866
6278,0,209.205,0.98,-0.03178,0.350617,-0.9359790000000001,-0.11801700000000001,0.308178,-0.9439799999999999,-0.08,0.337,-21.9,-41.9,616.8,0.162,0.244,-0.031,0.0,0.0,0.0,0.0,0.9,1.3,0.0,0.29,1.59,0.95,0.0,0.0,0.28,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.2340000000000089
6279,0,209.238,0.98,0.041246,0.33195,-0.9423950000000001,-0.094762,0.302829,-0.9483219999999999,-0.027999999999999997,0.324,-46.3,-34.5,598.8,0.17600000000000002,0.188,-0.079,0.0,0.0,0.0,0.0,0.99,1.42,0.0,0.26,1.57,0.93,0.0,0.0,0.22,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.2669999999999959
6280,0,209.271,0.98,0.039293,0.340371,-0.93947,-0.086268,0.301935,-0.949417,-0.025,0.32799999999999996,-46.2,-34.6,597.9,0.17800000000000002,0.184,-0.077,0.0,0.0,0.0,0.0,1.07,1.48,0.0,0.25,1.57,0.97,0.0,0.0,0.11,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.2999999999999829
6281,0,209.305,0.98,0.039585,0.340043,-0.939577,-0.08907899999999999,0.304044,-0.948484,-0.026000000000000002,0.32899999999999996,-46.2,-34.6,598.1,0.17600000000000002,0.185,-0.078,0.0,0.0,0.0,0.0,1.13,1.57,0.0,0.32,1.67,1.09,0.0,0.0,0.19,0.0,1.82,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.3340000000000032
6282,0,209.338,0.98,0.051576,0.322022,-0.945326,-0.049176,0.30240700000000004,-0.95191,0.001,0.318,-65.8,-31.3,586.7,0.183,0.136,-0.113,0.0,0.0,0.0,0.0,1.18,1.65,0.0,0.38,1.79,1.28,0.0,0.0,0.2,0.0,1.73,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.3669999999999902
6283,0,209.37099999999998,0.98,0.053598,0.32339,-0.9447469999999999,-0.04129,0.296693,-0.9540799999999999,0.006,0.316,-65.4,-31.2,584.6,0.18,0.13699999999999998,-0.11900000000000001,0.0,0.0,0.0,0.0,1.24,1.6,0.0,0.44,1.91,1.4,0.0,0.0,0.27,0.0,1.64,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.4000000000000057
6284,0,209.405,0.98,0.056167999999999996,0.322098,-0.945039,-0.042036000000000004,0.298512,-0.9534799999999999,0.006999999999999999,0.316,-65.3,-31.1,584.3,0.179,0.138,-0.122,0.0,0.0,0.0,0.0,1.4,1.61,0.0,0.41,2.04,1.44,0.0,0.03,0.27,0.0,1.63,0.09,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.4339999999999975
6285,0,209.438,0.98,-0.010836,0.28480700000000003,-0.9585239999999999,0.000482,0.295692,-0.955283,-0.005,0.295,-75.6,-29.7,576.1,0.17,0.136,-0.153,0.0,0.0,0.0,0.0,1.4,1.52,0.0,0.43,2.02,1.4,0.0,0.03,0.2,0.0,1.64,0.09,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.4669999999999845
6286,0,209.47099999999998,0.98,0.137221,0.32326900000000003,-0.9363049999999999,0.018522,0.322754,-0.9463020000000001,0.083,0.331,-76.4,-28.8,562.1,0.205,0.096,-0.159,0.0,0.0,0.0,0.0,1.38,1.66,0.0,0.48,2.01,1.32,0.0,0.03,0.11,0.0,1.66,0.09,0.18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.5
6287,0,209.505,0.98,0.138629,0.336016,-0.9315979999999999,0.025051,0.331638,-0.943074,0.087,0.342,-76.5,-28.8,561.1,0.21899999999999997,0.08900000000000001,-0.155,0.0,0.0,0.0,0.0,1.31,1.78,0.0,0.66,1.9,1.19,0.0,0.0,0.0,0.0,1.65,0.1,0.18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.5339999999999918
6288,0,209.53799999999998,0.98,0.174502,0.33716399999999996,-0.925132,0.023065000000000002,0.354242,-0.9348690000000001,0.106,0.35600000000000004,-78.9,-27.6,541.2,0.235,0.068,-0.157,0.0,0.0,0.0,0.0,1.4,2.04,0.0,0.75,1.89,1.07,0.0,0.0,0.0,0.0,1.61,0.15,0.09,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.5670000000000073
6289,0,209.571,0.98,0.176674,0.34389200000000003,-0.9222389999999999,0.030741,0.359061,-0.932808,0.111,0.36200000000000004,-79.1,-27.6,540.7,0.24100000000000002,0.067,-0.155,0.0,0.0,0.0,0.0,1.48,2.16,0.0,0.83,1.87,1.01,0.0,0.0,0.0,0.0,1.55,0.21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,happy,0.0,0.0,False, ,False,False,speak,0.5999999999999943
