frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
8683,0,289.3540000000001,0.88,0.6353979999999999,0.148973,-0.757678,0.522369,0.138479,-0.8414,0.627,0.17800000000000002,-865.8,-414.1,1748.6,0.08199999999999999,-0.6609999999999999,0.199,0.0,0.0,1.22,0.0,0.53,0.0,0.15,0.76,1.26,1.21,1.05,2.48,0.0,0.0,2.52,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,neutral,False, ,False,False, ,0.0
8684,0,289.387,0.98,0.534165,0.167847,-0.82855,0.398488,0.157692,-0.903516,0.494,0.18600000000000005,-810.3,-398.1,1678.1,0.096,-0.462,0.134,0.0,0.0,1.38,0.0,0.85,0.0,0.24,1.27,1.58,1.99,1.25,1.99,0.0,0.0,2.99,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.032999999999901775
8685,0,289.42,0.88,0.543619,0.175427,-0.820795,0.405911,0.165053,-0.898885,0.504,0.195,-808.6,-397.1,1675.3,0.1,-0.479,0.14300000000000002,0.0,0.0,1.5,0.0,1.18,0.0,0.35,1.43,1.8,2.48,1.09,1.47,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.06599999999991724
8686,0,289.454,0.88,0.55592,0.185961,-0.810167,0.426713,0.181903,-0.8859049999999999,0.525,0.214,-787.0,-397.8,1695.8,0.139,-0.512,0.129,0.0,0.0,1.38,0.0,1.0,0.0,0.2,1.32,1.73,1.96,0.63,1.52,0.0,0.0,3.16,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.09999999999990905
8687,0,289.487,0.88,0.571132,0.18953,-0.798678,0.447385,0.187377,-0.874492,0.547,0.222,-808.2,-411.0,1757.4,0.146,-0.5539999999999999,0.172,0.0,0.0,1.36,0.0,1.01,0.0,0.16,1.25,1.73,1.79,0.39,1.46,0.0,0.0,3.41,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.1329999999999245
8688,0,289.52,0.88,0.533222,0.190025,-0.824357,0.403493,0.185686,-0.895943,0.499,0.215,-748.0,-389.0,1676.2,0.138,-0.482,0.128,0.0,0.0,1.31,0.0,0.84,0.0,0.04,1.3,1.66,1.36,0.67,1.94,0.0,0.0,3.39,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.16599999999988313
8689,0,289.5540000000001,0.88,0.524211,0.168076,-0.834837,0.399401,0.161732,-0.902398,0.489,0.188,-750.1,-395.9,1699.9,0.084,-0.478,0.14400000000000002,0.0,0.0,1.28,0.0,0.9,0.0,0.04,1.56,1.86,1.8,1.0,2.07,0.07,0.0,3.76,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.19999999999998863
8690,0,289.587,0.88,0.54324,0.166922,-0.822817,0.413838,0.162866,-0.8956629999999999,0.508,0.19,-735.3,-389.3,1675.4,0.085,-0.51,0.139,0.0,0.0,1.27,0.0,0.81,0.0,0.0,1.67,1.87,1.87,0.94,2.39,0.13,0.0,3.63,0.16,0.02,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.2329999999998904
8691,0,289.62,0.88,0.50464,0.170835,-0.846259,0.373091,0.165221,-0.912965,0.463,0.189,-692.7,-389.5,1636.6,0.098,-0.441,0.117,0.0,0.0,1.18,0.0,0.98,0.0,0.0,1.77,2.03,2.09,0.78,2.35,0.22,0.0,3.6,0.03,0.17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.26599999999990587
8692,0,289.654,0.88,0.504603,0.176324,-0.8451540000000001,0.373286,0.170666,-0.911883,0.463,0.195,-691.6,-388.7,1634.3,0.08800000000000001,-0.445,0.117,0.0,0.0,1.06,0.0,1.04,0.0,0.0,1.54,2.06,2.18,0.54,2.15,0.15,0.0,3.38,0.0,0.22,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.2999999999998977
8693,0,289.687,0.88,0.498362,0.172298,-0.849676,0.36595,0.166979,-0.915532,0.455,0.19,-660.6,-402.9,1613.5,0.095,-0.436,0.114,0.0,0.0,0.85,0.0,1.12,0.0,0.0,1.42,2.2,2.22,0.41,2.02,0.11,0.0,3.44,0.0,0.29,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.33299999999991314
8694,0,289.72,0.88,0.504451,0.182175,-0.8440030000000001,0.369763,0.177153,-0.912081,0.462,0.202,-660.1,-402.4,1612.8,0.095,-0.449,0.122,0.0,0.0,0.76,0.0,1.24,0.0,0.0,1.26,2.21,2.13,0.31,1.78,0.02,0.0,3.37,0.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.3659999999999286
8695,0,289.754,0.88,0.490018,0.170445,-0.854886,0.353633,0.169147,-0.919964,0.444,0.189,-625.9,-408.0,1581.3,0.08900000000000001,-0.425,0.092,0.0,0.0,0.89,0.0,1.26,0.0,0.0,1.33,2.26,2.13,0.37,1.7,0.02,0.0,3.22,0.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.3999999999999204
8696,0,289.7870000000001,0.88,0.489781,0.145607,-0.8596010000000001,0.35115,0.14608800000000002,-0.924852,0.44,0.162,-616.2,-412.4,1578.8,0.036000000000000004,-0.431,0.1,0.0,0.0,1.04,0.0,1.08,0.0,0.0,1.3,2.13,2.29,0.32,1.79,0.0,0.0,3.17,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,happy,False, ,False,False, ,0.4329999999999927
