frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,speak,move,emotion,error,errType,TF,SNV,lastAction,t_lastAction
8917,1,297.152,0.88,0.318305,0.320952,-0.8920040000000001,0.277674,0.342789,-0.897437,0.321,0.355,222.4,-76.6,578.5,0.413,-0.894,0.13699999999999998,0.0,0.0,0.32,0.0,0.88,1.62,0.03,1.08,0.92,0.31,1.16,0.24,0.0,1.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.0
8918,1,297.186,0.98,0.35241,0.361999,-0.8629969999999999,0.284739,0.35617,-0.8899809999999999,0.349,0.389,221.3,-77.4,579.1,0.462,-0.901,0.161,0.0,0.0,0.4,0.0,1.32,2.45,0.03,1.4,1.31,0.51,1.58,0.24,0.0,2.07,0.62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.033999999999991815
8919,1,297.219,0.98,0.418495,0.324177,-0.8483930000000001,0.29820100000000005,0.397863,-0.8676299999999999,0.396,0.398,191.4,-79.4,581.9,0.443,-0.92,0.16,0.0,0.0,0.31,0.0,1.34,2.48,0.02,1.53,1.24,0.59,1.51,0.3,0.0,1.91,0.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.06700000000000728
8920,1,297.252,0.98,0.319223,0.379183,-0.8685139999999999,0.331248,0.369029,-0.8683850000000001,0.358,0.407,192.0,-80.1,581.6,0.498,-0.875,0.17800000000000002,0.0,0.0,0.32,0.0,1.32,2.52,0.07,1.44,1.17,0.6,1.52,0.16,0.0,1.78,0.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.10000000000002274
8921,1,297.286,0.98,0.329176,0.389034,-0.860405,0.330195,0.370926,-0.867978,0.364,0.414,191.2,-79.9,579.5,0.513,-0.8740000000000001,0.194,0.0,0.0,0.42,0.0,1.23,2.06,0.07,1.32,1.03,0.55,1.47,0.16,0.0,1.45,0.66,0.21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.13400000000001455
8923,1,297.3520000000001,0.88,0.207701,0.328138,-0.921513,0.293943,0.276987,-0.914809,0.267,0.318,179.9,-82.0,621.8,0.306,-0.5429999999999999,0.165,0.0,0.0,0.62,0.0,1.0,1.19,0.07,0.78,0.86,0.32,1.06,0.0,0.0,1.12,0.43,0.35,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.20000000000010232
8924,1,297.386,0.88,0.387618,0.328214,-0.86141,0.363916,0.361975,-0.8582190000000001,0.412,0.382,147.8,-83.6,587.8,0.462,-0.933,0.19,0.0,0.0,0.91,0.0,0.97,1.35,0.27,1.03,0.92,0.36,1.44,0.0,0.0,1.45,0.27,0.14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,False, ,False,False, ,0.2340000000000373
8925,1,297.4190000000001,0.98,0.443961,0.296308,-0.845636,0.373355,0.308388,-0.8749299999999999,0.443,0.338,148.9,-83.9,596.0,0.42,-0.931,0.202,0.0,0.0,1.17,0.0,0.93,1.36,0.41,1.15,0.99,0.46,2.36,0.04,0.0,1.95,0.07,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,disgust,False, ,False,False, ,0.2670000000001096
8926,1,297.452,0.98,0.457969,0.273461,-0.8458629999999999,0.381178,0.291988,-0.877181,0.453,0.317,150.8,-84.0,605.1,0.37,-0.926,0.214,0.0,0.0,1.37,0.0,0.84,1.4,0.5,1.02,0.86,0.41,3.0,0.13,0.0,2.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,disgust,False, ,False,False, ,0.30000000000001137
8927,1,297.486,0.98,0.4376640000000001,0.281306,-0.854001,0.384266,0.289872,-0.8765350000000001,0.443,0.319,151.0,-83.8,606.2,0.364,-0.92,0.222,0.0,0.0,1.36,0.0,0.82,1.34,0.48,0.85,0.82,0.28,3.68,0.16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,disgust,False, ,False,False, ,0.3340000000000032
8928,1,297.519,0.98,0.431897,0.27831500000000003,-0.857908,0.359858,0.290829,-0.8865219999999999,0.426,0.315,151.2,-83.8,606.7,0.365,-0.91,0.226,0.0,0.0,0.93,0.0,0.86,1.78,0.34,0.96,0.76,0.36,3.18,0.13,0.22,1.32,0.33,0.0,0.17,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,disgust,False, ,False,False, ,0.36700000000001864
8929,1,297.552,0.98,0.540623,0.385449,-0.747768,0.393333,0.276058,-0.876973,0.522,0.387,149.8,-82.9,617.9,0.228,-0.866,0.181,0.0,0.0,0.53,0.0,1.02,1.45,0.33,0.87,0.95,0.92,2.05,0.03,0.22,0.65,0.37,0.0,0.23,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neutral,False, ,False,False, ,0.4000000000000341
8930,1,297.586,0.98,0.283608,0.38065,-0.8801549999999999,0.110075,0.300671,-0.947354,0.212,0.35700000000000004,124.9,-84.3,594.0,0.249,-0.429,0.036000000000000004,0.0,0.0,0.17,0.0,1.18,1.18,0.15,0.87,1.12,1.58,0.67,0.0,0.22,0.0,0.58,0.05,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,neutral,False, ,False,False, ,0.4340000000000259
8931,1,297.619,0.98,0.433356,0.380306,-0.817049,0.154547,0.302624,-0.940497,0.32299999999999995,0.371,127.6,-85.4,603.2,0.29,-0.49,0.066,0.0,0.0,0.29,0.0,1.42,0.57,0.15,0.77,1.38,2.1,0.05,0.0,0.0,0.0,0.63,0.15,0.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,happy,False, ,False,False, ,0.4670000000000414
8932,1,297.652,0.98,0.387903,0.402087,-0.8293719999999999,0.223191,0.321169,-0.920346,0.336,0.392,128.9,-86.4,608.8,0.313,-0.529,0.08,0.0,0.0,0.24,0.0,1.41,0.44,0.0,1.12,1.6,2.62,0.05,0.0,0.0,0.0,1.0,0.15,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,happy,False, ,False,False, ,0.5
8933,1,297.686,0.98,0.135905,0.348167,-0.927529,-0.086552,0.258041,-0.962249,0.026,0.31,111.5,-84.0,590.9,0.221,-0.332,0.07200000000000001,0.0,0.0,0.26,0.0,1.41,0.26,0.0,1.38,1.89,3.24,0.0,0.0,0.0,0.0,1.23,0.09,1.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,happy,False, ,False,False, ,0.5339999999999918
8934,1,297.719,0.98,0.147078,0.344437,-0.927217,-0.089672,0.283398,-0.954801,0.03,0.322,111.9,-84.4,592.6,0.223,-0.341,0.071,0.0,0.0,0.22,0.0,1.34,0.0,0.0,1.6,2.17,3.81,0.0,0.0,0.0,0.0,1.28,0.0,1.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,happy,False, ,False,False, ,0.5670000000000073
8935,1,297.752,0.98,0.145448,0.345373,-0.927126,-0.09359,0.277352,-0.956199,0.028,0.319,111.9,-84.4,592.7,0.221,-0.338,0.071,0.0,0.0,0.2,0.0,1.34,0.1,0.0,1.99,2.37,3.86,0.0,0.0,0.15,0.0,1.75,0.0,1.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,happy,False, ,False,False, ,0.6000000000000227
8936,1,297.786,0.98,0.188994,0.260471,-0.946803,0.10339,0.245993,-0.963742,0.152,0.259,101.6,-83.7,594.3,0.23,-0.287,0.043,0.0,0.0,0.08,0.0,1.41,0.16,0.0,2.29,2.52,3.75,0.0,0.0,0.22,0.0,2.18,0.0,1.26,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,happy,False, ,False,False, ,0.6340000000000146
8937,1,297.819,0.98,0.131074,0.325866,-0.936286,0.048442,0.278146,-0.959316,0.094,0.308,97.8,-81.6,580.2,0.209,-0.257,0.031,0.0,0.0,0.0,0.0,1.5,0.16,0.0,2.59,2.68,3.73,0.0,0.0,0.22,0.0,2.6,0.0,1.09,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.66700000000003
8938,1,297.8520000000001,0.98,0.133382,0.322571,-0.9371,0.042888,0.275891,-0.960232,0.093,0.306,97.3,-81.3,578.5,0.203,-0.256,0.031,0.0,0.0,0.0,0.0,1.6,0.06,0.0,2.47,2.65,3.73,0.0,0.0,0.06,0.0,2.54,0.0,0.96,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.7000000000001023
8939,1,297.886,0.98,0.136823,0.32107,-0.93712,0.042209,0.274754,-0.960588,0.094,0.304,97.3,-81.3,578.1,0.202,-0.257,0.031,0.0,0.0,0.0,0.0,1.6,0.0,0.0,2.42,2.64,3.71,0.0,0.0,0.01,0.0,2.5,0.0,0.81,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.7340000000000373
8940,1,297.9190000000001,0.98,0.136751,0.323114,-0.936428,0.043779000000000005,0.275485,-0.960308,0.095,0.306,97.2,-81.3,578.1,0.201,-0.258,0.032,0.0,0.0,0.04,0.0,1.61,0.24,0.0,2.65,2.69,3.69,0.0,0.0,0.01,0.0,2.42,0.0,0.61,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.7670000000001096
8941,1,297.952,0.98,0.133305,0.295547,-0.945982,0.027865,0.302252,-0.952821,0.085,0.305,90.1,-78.1,573.5,0.208,-0.194,0.02,0.0,0.0,0.04,0.0,1.67,0.49,0.01,2.96,2.78,3.67,0.0,0.0,0.01,0.0,2.38,0.0,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.8000000000000114
8942,1,297.986,0.98,0.13096300000000002,0.28662600000000005,-0.949049,0.02627,0.300477,-0.953427,0.08199999999999999,0.299,89.5,-77.7,571.4,0.196,-0.196,0.021,0.0,0.0,0.19,0.0,1.72,0.73,0.01,3.19,2.89,3.53,0.0,0.0,0.0,0.0,2.31,0.0,0.17,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.8340000000000032
8943,1,298.019,0.98,0.07347000000000001,0.331816,-0.940479,-0.025936,0.264846,-0.963942,0.025,0.304,85.6,-76.3,570.2,0.197,-0.17,0.013,0.0,0.0,0.23,0.0,1.73,0.57,0.01,3.09,2.9,3.4,0.0,0.0,0.0,0.0,2.29,0.0,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.8670000000000186
8944,1,298.052,0.98,0.075285,0.329615,-0.941109,-0.018797,0.262862,-0.96465,0.03,0.301,85.3,-76.1,569.2,0.192,-0.171,0.013,0.0,0.0,0.31,0.0,1.73,0.43,0.0,2.96,2.9,3.29,0.0,0.0,0.0,0.0,2.24,0.0,0.01,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,happy,False, ,False,False, ,0.9000000000000341
8945,1,298.086,0.98,0.07462,0.329336,-0.94126,-0.018415,0.263183,-0.96457,0.029,0.301,85.3,-76.1,569.2,0.192,-0.171,0.013,0.0,0.0,0.25,0.0,1.73,0.3,0.0,2.88,2.85,3.42,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.9340000000000259
8946,1,298.119,0.98,0.100279,0.310355,-0.945317,-0.069293,0.269392,-0.960534,0.016,0.295,82.7,-75.8,570.9,0.189,-0.159,0.01,0.0,0.0,0.22,0.0,1.75,0.35,0.0,2.91,2.87,3.53,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,0.9670000000000414
8947,1,298.152,0.98,0.099341,0.303524,-0.947631,-0.040291,0.266168,-0.963084,0.031,0.29,82.2,-75.3,568.6,0.183,-0.158,0.012,0.0,0.0,0.18,0.0,1.76,0.29,0.0,2.83,2.91,3.63,0.0,0.0,0.0,0.0,1.98,0.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.0
8948,1,298.186,0.98,0.103098,0.295232,-0.949847,-0.043638,0.250052,-0.967248,0.031,0.277,79.9,-75.1,568.6,0.18,-0.14300000000000002,0.011,0.0,0.0,0.16,0.0,1.74,0.19,0.0,2.81,2.95,3.67,0.0,0.0,0.0,0.0,2.09,0.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.0339999999999918
8949,1,298.219,0.98,0.101013,0.289973,-0.951689,-0.044985,0.249076,-0.967439,0.029,0.274,79.7,-74.9,567.5,0.17600000000000002,-0.14400000000000002,0.012,0.0,0.0,0.19,0.0,1.7,0.09,0.0,2.75,2.97,3.65,0.0,0.0,0.0,0.0,2.29,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.0670000000000073
8950,1,298.252,0.98,0.10217,0.28896,-0.951874,-0.045728,0.246617,-0.968033,0.029,0.272,79.7,-74.9,567.4,0.174,-0.14400000000000002,0.013,0.0,0.0,0.23,0.0,1.66,0.11,0.02,2.69,2.97,3.65,0.0,0.0,0.0,0.0,2.35,0.0,0.12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.1000000000000227
8951,1,298.286,0.98,0.100504,0.289648,-0.951842,-0.047595,0.246433,-0.967991,0.028,0.272,79.7,-74.9,567.6,0.174,-0.142,0.013,0.0,0.0,0.28,0.0,1.63,0.14,0.02,2.68,2.93,3.66,0.0,0.0,0.0,0.0,2.33,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.1340000000000146
8952,1,298.319,0.98,0.080723,0.284862,-0.955163,-0.068476,0.24136,-0.968017,0.006,0.267,79.2,-75.1,565.6,0.166,-0.14,0.009000000000000001,0.0,0.0,0.33,0.0,1.62,0.13,0.02,2.59,2.9,3.73,0.0,0.0,0.0,0.0,2.29,0.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.16700000000003
8953,1,298.3520000000001,0.98,0.081368,0.28302,-0.955656,-0.067636,0.238547,-0.968773,0.006999999999999999,0.265,79.2,-75.1,565.4,0.163,-0.139,0.009000000000000001,0.0,0.0,0.37,0.0,1.62,0.11,0.0,2.6,2.87,3.82,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.2000000000001023
8954,1,298.386,0.98,0.08173,0.282015,-0.955922,-0.064777,0.238384,-0.969008,0.009000000000000001,0.264,79.2,-75.1,565.3,0.162,-0.14,0.009000000000000001,0.0,0.0,0.47,0.0,1.6,0.06,0.0,2.54,2.88,3.75,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.2340000000000373
8955,1,298.4190000000001,0.98,0.096662,0.307216,-0.946718,-0.064731,0.255346,-0.96468,0.017,0.28600000000000003,79.4,-74.0,564.6,0.181,-0.14300000000000002,0.009000000000000001,0.0,0.0,0.55,0.0,1.61,0.05,0.0,2.62,2.88,3.7,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.2670000000001096
8956,1,298.452,0.98,0.103143,0.306525,-0.946258,-0.062133,0.254347,-0.965115,0.021,0.285,79.3,-73.8,563.9,0.18,-0.145,0.008,0.0,0.0,0.55,0.0,1.59,0.0,0.0,2.65,2.8,3.57,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.3000000000000114
8957,1,298.486,0.98,0.06398,0.280164,-0.957818,-0.085337,0.265836,-0.960234,-0.011,0.277,79.6,-73.2,561.9,0.171,-0.147,0.008,0.0,0.0,0.46,0.0,1.6,0.0,0.0,2.81,2.78,3.49,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.3340000000000032
8958,1,298.519,0.98,0.06295,0.278783,-0.958289,-0.085832,0.264963,-0.960431,-0.012,0.276,79.6,-73.2,561.8,0.171,-0.14300000000000002,0.006,0.0,0.0,0.37,0.0,1.57,0.05,0.0,2.89,2.76,3.39,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.3670000000000186
8959,1,298.552,0.98,0.062808,0.278596,-0.958353,-0.086747,0.266008,-0.96006,-0.012,0.277,79.6,-73.2,561.8,0.171,-0.142,0.004,0.0,0.0,0.42,0.0,1.57,0.09,0.0,2.82,2.8,3.16,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,happy,False, ,False,False, ,1.400000000000034
