frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
1646,0,54.827,0.93,0.11457300000000001,0.21664099999999997,-0.969505,-0.053467999999999995,0.18371600000000002,-0.981524,0.031,0.20199999999999999,-225.8,-401.9,1353.1,0.057999999999999996,0.037000000000000005,0.20199999999999999,0.04,0.0,1.19,0.51,0.67,0.15,0.0,0.32,0.54,0.0,0.21,1.91,0.0,0.98,0.18,0.0,1.09,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,neutral,1,0,False, ,False,False,speak,0.0
1647,0,54.86,0.88,0.061496,0.190588,-0.979742,-0.07731,0.15198699999999998,-0.9853540000000001,-0.008,0.17300000000000001,-234.6,-405.1,1361.4,0.027999999999999997,0.09300000000000001,0.228,0.04,0.0,1.74,1.02,0.99,0.27,0.0,0.35,0.89,0.0,0.26,2.96,0.0,1.48,0.57,0.0,1.71,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1648,0,54.894,0.98,0.036652,0.184915,-0.9820709999999999,-0.10906600000000001,0.145595,-0.9833139999999999,-0.037000000000000005,0.16699999999999998,-239.0,-402.8,1353.4,0.01,0.128,0.239,0.13,0.0,1.75,1.57,1.0,0.74,0.22,0.35,0.79,0.0,0.39,2.95,0.0,1.73,0.57,0.0,1.24,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1649,0,54.927,0.88,0.416376,0.242848,-0.87616,0.256279,0.21092399999999997,-0.9433090000000001,0.354,0.244,-287.1,-410.2,1368.0,0.139,-0.408,0.36,0.28,0.0,2.04,2.08,1.23,1.48,0.51,0.74,0.72,0.0,0.37,2.54,0.0,1.65,0.43,0.0,0.61,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1650,0,54.96,0.88,0.46490200000000004,0.22984200000000002,-0.855008,0.308134,0.198571,-0.9303889999999999,0.409,0.23600000000000002,-305.3,-402.7,1345.6,0.122,-0.47700000000000004,0.364,0.61,0.0,2.25,2.18,1.32,2.04,0.7,0.99,0.47,0.0,0.36,2.21,0.0,1.68,0.04,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1651,0,54.994,0.88,0.48188400000000003,0.198551,-0.8534430000000001,0.331989,0.170429,-0.927759,0.429,0.204,-306.5,-404.1,1351.1,0.07200000000000001,-0.5,0.324,0.61,0.22,2.36,1.86,1.35,1.96,0.93,0.95,0.45,0.0,0.32,2.3,0.0,1.73,0.14,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1652,0,55.027,0.88,0.488882,0.268685,-0.829941,0.320864,0.23071399999999997,-0.918595,0.434,0.278,-341.3,-390.5,1293.3,0.168,-0.505,0.41,0.73,0.5,2.51,1.75,1.37,2.0,1.07,0.81,0.51,0.0,0.53,2.34,0.0,1.74,0.23,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1653,0,55.06,0.88,0.487756,0.247077,-0.8372860000000001,0.318839,0.20976399999999998,-0.924306,0.429,0.254,-342.3,-391.9,1298.9,0.124,-0.49700000000000005,0.371,0.4,1.02,1.95,1.52,1.36,1.41,1.28,0.81,0.75,0.0,0.79,2.21,0.58,2.19,1.29,0.47,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1660,0,55.294,0.98,0.57668,0.333027,-0.746012,0.42369799999999996,0.30196999999999996,-0.853987,0.5589999999999999,0.37799999999999995,-476.1,-431.4,1235.5,0.271,-0.623,0.447,0.0,0.0,1.35,0.74,1.06,1.86,1.06,0.88,0.57,0.31,0.29,1.31,0.03,1.21,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1661,0,55.327,0.98,0.575769,0.31074,-0.756261,0.418253,0.27916199999999997,-0.864369,0.55,0.349,-475.8,-431.0,1235.6,0.225,-0.613,0.41200000000000003,0.0,0.0,2.04,1.21,1.57,2.7,1.51,1.29,0.89,0.51,0.5,1.9,0.03,1.83,0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1662,0,55.36,0.98,0.576033,0.293057,-0.763088,0.41911499999999996,0.261419,-0.869484,0.547,0.327,-476.1,-431.1,1236.4,0.195,-0.61,0.392,0.0,0.13,1.61,0.85,1.49,2.04,1.46,0.84,0.96,0.38,0.4,1.8,0.43,2.06,0.31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,1,0,False, ,False,False,speak,0.0
1760,0,58.626999999999995,0.88,0.349972,0.365168,-0.862654,0.259793,0.3457,-0.9016639999999999,0.33299999999999996,0.38299999999999995,125.0,-121.4,819.9,0.268,-0.594,0.222,0.04,0.12,1.34,0.0,0.67,0.79,0.08,0.55,0.57,0.0,0.0,0.15,0.0,0.59,0.63,0.73,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0,0,False, ,False,False,speak,2.9669999999999987
1761,0,58.66,0.88,0.460686,0.432379,-0.7751239999999999,0.21996500000000002,0.357958,-0.907459,0.384,0.439,128.2,-124.4,844.0,0.33,-0.552,0.28300000000000003,0.15,0.12,2.12,0.0,0.91,1.31,0.09,0.87,0.87,0.01,0.0,0.15,0.0,0.59,0.86,1.04,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,angry,0,0,False, ,False,False,speak,3.0
1762,0,58.693000000000005,0.88,0.359575,0.394382,-0.845676,0.24835500000000002,0.353088,-0.902025,0.335,0.40399999999999997,128.0,-125.9,868.5,0.349,-0.545,0.299,0.14,0.06,2.1,0.0,0.8,1.67,0.09,0.89,0.92,0.07,0.0,0.0,0.0,0.13,1.1,0.96,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,neutral,0,0,False, ,False,False,speak,3.0330000000000155
