frame,face_id,timestamp,confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,speak,move,error,errType,TF,SNV,lastAction,t_lastAction
2714,0,90.439,0.98,-0.676966,0.385793,-0.6268020000000001,-0.69095,0.42744499999999996,-0.582991,-0.847,0.5920000000000001,138.9,-312.2,1057.1,0.9390000000000001,1.198,-0.9279999999999999,1.12,0.0,0.39,0.0,0.58,0.18,0.02,1.15,0.32,1.88,0.04,2.57,0.14,0.5,0.0,1.53,0.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1,0,False, ,False,False,speak,0.0
2715,0,90.47200000000001,0.98,-0.668142,0.37811500000000003,-0.6407930000000001,-0.68637,0.418679,-0.594647,-0.831,0.573,138.4,-313.3,1061.0,0.856,1.181,-0.836,1.07,0.0,0.36,0.0,0.43,0.18,0.02,1.14,0.32,1.56,0.04,2.75,0.11,0.53,0.1,1.59,0.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1,0,False, ,False,False,speak,0.0
2717,0,90.539,0.98,-0.6444840000000001,0.402104,-0.6503479999999999,-0.6570229999999999,0.438092,-0.6135109999999999,-0.8,0.5870000000000001,83.5,-299.3,1084.3,0.9259999999999999,1.177,-0.872,0.85,0.0,0.45,0.0,0.28,0.0,0.0,0.98,0.35,1.02,0.17,2.74,0.08,0.6,0.36,1.5,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1,0,False, ,False,False,speak,0.0
2719,0,90.605,0.98,-0.622843,0.404109,-0.6698970000000001,-0.632821,0.436854,-0.6392939999999999,-0.765,0.5710000000000001,30.2,-280.3,1098.4,0.98,1.193,-0.8909999999999999,0.57,0.0,0.52,0.0,0.38,0.0,0.0,0.81,0.28,0.8,0.01,2.5,0.52,0.46,0.71,1.82,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1,0,False, ,False,False,speak,0.0
2720,0,90.639,0.98,-0.6147199999999999,0.403424,-0.677767,-0.6289319999999999,0.434287,-0.644856,-0.755,0.565,29.3,-280.8,1100.0,0.925,1.177,-0.8140000000000001,0.41,0.0,0.5,0.0,0.43,0.0,0.0,0.78,0.25,0.63,0.01,2.66,0.48,0.54,0.57,1.88,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,1,0,False, ,False,False,speak,0.0
2721,0,90.67200000000001,0.88,-0.61119,0.358556,-0.7056100000000001,-0.622108,0.39566,-0.675599,-0.7290000000000001,0.5,-16.1,-270.2,1140.6,0.866,1.2,-0.851,0.3,0.0,0.49,0.0,0.49,0.0,0.0,0.64,0.2,0.55,0.01,2.84,0.32,0.6,0.51,1.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0,0,False, ,False,False,speak,0.03300000000001546
2722,0,90.705,0.98,-0.598353,0.38101,-0.7048439999999999,-0.607228,0.412236,-0.679217,-0.7170000000000001,0.52,-16.8,-271.0,1140.2,0.862,1.186,-0.7809999999999999,0.22,0.0,0.5,0.0,0.52,0.0,0.0,0.56,0.18,0.45,0.01,2.92,0.07,0.66,0.53,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0,0,False, ,False,False,speak,0.0660000000000025
2723,0,90.73899999999999,0.98,-0.594949,0.384387,-0.7058909999999999,-0.603589,0.41279099999999996,-0.682118,-0.7120000000000001,0.521,-17.2,-270.8,1138.3,0.853,1.181,-0.7390000000000001,0.27,0.0,0.5,0.0,0.42,0.0,0.0,0.42,0.18,0.46,0.01,2.71,0.06,0.6,0.65,2.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,neutral,0,0,False, ,False,False,speak,0.09999999999999433
2724,0,90.772,0.88,-0.580781,0.350129,-0.734917,-0.5991489999999999,0.383681,-0.702715,-0.687,0.47200000000000003,-63.2,-276.7,1202.5,0.758,1.159,-0.725,0.31,0.0,0.52,0.0,0.32,0.0,0.0,0.32,0.15,0.51,0.01,2.58,0.06,0.56,0.82,2.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,neutral,0,0,False, ,False,False,speak,0.13300000000000978
2725,0,90.805,0.98,-0.57484,0.377256,-0.726111,-0.588905,0.40415999999999996,-0.69989,-0.684,0.501,-62.7,-275.6,1191.5,0.792,1.159,-0.6779999999999999,0.39,0.0,0.56,0.0,0.26,0.06,0.0,0.2,0.14,0.61,0.0,2.56,0.0,0.56,0.92,2.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,neutral,0,0,False, ,False,False,speak,0.16600000000001106
